Iter  GoF  Param1  Param2  Param3  Param4  Param5  Param6  Param7  Param8  Param9  Param10  
71   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
72   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
73   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
74   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
75   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
76   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
77   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
78   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
79   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
80   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
81   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
82   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
83   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
84   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
85   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
86   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
87   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
88   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
89   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
90   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
91   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
92   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
93   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
94   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
95   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
96   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
97   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
98   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
99   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
100   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
101   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
102   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
103   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
104   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
105   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
106   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
